x [mm], y [mm], u [m/s], v [m/s]
-1.850000000000000000e+02, -3.500000000000000000e+01, 9.876990318298339844e+00, 2.991021871566772461e-01
-1.750000000000000000e+02, -3.500000000000000000e+01, 9.886883735656738281e+00, 3.269081413745880127e-01
-1.650000000000000000e+02, -3.500000000000000000e+01, 9.897640228271484375e+00, 3.526893258094787598e-01
-1.550000000000000000e+02, -3.500000000000000000e+01, 9.902220726013183594e+00, 3.723014295101165771e-01
-1.450000000000000000e+02, -3.500000000000000000e+01, 9.856588363647460938e+00, 3.925486207008361816e-01
-1.350000000000000000e+02, -3.500000000000000000e+01, 9.780602455139160156e+00, 4.750728011131286621e-01
-1.250000000000000000e+02, -3.500000000000000000e+01, nan, nan
-1.150000000000000000e+02, -3.500000000000000000e+01, nan, nan
-1.050000000000000000e+02, -3.500000000000000000e+01, 9.239729881286621094e+00, -3.327198624610900879e-01
-9.500000000000000000e+01, -3.500000000000000000e+01, 9.113449096679687500e+00, -6.352332830429077148e-01
-8.500000000000000000e+01, -3.500000000000000000e+01, 8.577916145324707031e+00, -1.129068255424499512e+00
-7.500000000000000000e+01, -3.500000000000000000e+01, 7.770349502563476562e+00, -1.089700937271118164e+00
-6.500000000000000000e+01, -3.500000000000000000e+01, 7.871838569641113281e+00, -1.079090833663940430e+00
-5.500000000000000000e+01, -3.500000000000000000e+01, 8.510411262512207031e+00, -1.137156009674072266e+00
-4.500000000000000000e+01, -3.500000000000000000e+01, 9.313343048095703125e+00, -1.168729543685913086e+00
-3.500000000000000000e+01, -3.500000000000000000e+01, 9.883246421813964844e+00, -9.229581952095031738e-01
-2.500000000000000000e+01, -3.500000000000000000e+01, 1.015972614288330078e+01, -5.092551112174987793e-01
-1.500000000000000000e+01, -3.500000000000000000e+01, 1.039948844909667969e+01, -9.507444500923156738e-02
-5.000000000000000000e+00, -3.500000000000000000e+01, 1.070753097534179688e+01, 2.522959113121032715e-01
5.000000000000000000e+00, -3.500000000000000000e+01, 1.096859169006347656e+01, 5.435628294944763184e-01
1.500000000000000000e+01, -3.500000000000000000e+01, 1.100483703613281250e+01, 7.826847434043884277e-01
2.500000000000000000e+01, -3.500000000000000000e+01, 1.078226470947265625e+01, 9.443114399909973145e-01
3.500000000000000000e+01, -3.500000000000000000e+01, 1.045976734161376953e+01, 1.076298832893371582e+00
4.500000000000000000e+01, -3.500000000000000000e+01, 1.027882099151611328e+01, 1.123953461647033691e+00
5.500000000000000000e+01, -3.500000000000000000e+01, 1.022741985321044922e+01, 1.000922322273254395e+00
6.500000000000000000e+01, -3.500000000000000000e+01, 1.007047653198242188e+01, 7.773779630661010742e-01
7.500000000000000000e+01, -3.500000000000000000e+01, 9.882819175720214844e+00, 6.643930673599243164e-01
8.500000000000000000e+01, -3.500000000000000000e+01, 9.763956069946289062e+00, 6.191891431808471680e-01
9.500000000000000000e+01, -3.500000000000000000e+01, 9.661341667175292969e+00, 5.152056217193603516e-01
1.050000000000000000e+02, -3.500000000000000000e+01, 9.684674263000488281e+00, 4.233750104904174805e-01
1.150000000000000000e+02, -3.500000000000000000e+01, 9.958052635192871094e+00, 3.495509028434753418e-01
1.250000000000000000e+02, -3.500000000000000000e+01, 1.012547302246093750e+01, 2.616942524909973145e-01
1.350000000000000000e+02, -3.500000000000000000e+01, 1.011074924468994141e+01, 1.799031347036361694e-01
1.450000000000000000e+02, -3.500000000000000000e+01, 1.004918289184570312e+01, 1.414692401885986328e-01
1.550000000000000000e+02, -3.500000000000000000e+01, 1.002437877655029297e+01, 1.443915665149688721e-01
1.650000000000000000e+02, -3.500000000000000000e+01, 9.981274604797363281e+00, 1.594543755054473877e-01
1.750000000000000000e+02, -3.500000000000000000e+01, 9.944650650024414062e+00, 1.935348212718963623e-01
